"Media And Storage Devices",Label,"Asset Name(s)","Threat Agent","Threat Action",Vulnerability,Control,Global,Media
Laptop,,"Laboratory Information System","Burglar, Thief or anyone who finds a lost device","Corruption or destruction of important data","Vulnerabilities related to data backups",100206,TBD,TBD
"Backup Media",text,"My Asset by Max#|#Testing with XLSX","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","A Global CC",TBD,TBD
"Desktop / Laptop",,"Another Two","Burglar, Thief or anyone who finds a lost device","Access to sensitive data on laptop once in possession of the laptop","Vulnerabilities related to encryption of sensitive data","A Global CC",TBD,TBD
"Digital Camera",,"Another Two","Careless IT personnel","Improper destruction, disposal or reuse of storage media","Destruction/Disposal Vulnerabilities","A Global CC",TBD,TBD
"Disk Array",,"Another Two","Careless IT personnel","Improper destruction, disposal or reuse of media","Destruction/Disposal Vulnerabilities","A Global CC",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","Careless IT personnel","Insecure configuration of systems","Vulnerabilities in system configurations","A Global CC",TBD,TBD
"Backup Media",text,"My Asset by Max#|#Testing with XLSX","Burglar, Thief or anyone who finds a lost device","Corruption or destruction of important data","Anti-malware Vulnerabilities","Acceptable Use Policy",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","Man Made - Unintentional","Information leakage","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Desktop,"One more","EDI Gateway","Man Made - Unintentional","Information leakage","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Desktop,"One more","EDI Gateway","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","Man Made - Unintentional","Information leakage","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","Man Made - Unintentional","Information leakage","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Man Made - Unintentional","Information leakage","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","Man Made - Unintentional","Information leakage","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
"Desktop / Laptop",,"Another Two","Man Made - Unintentional","Information leakage","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
"Desktop / Laptop",,"Another Two","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
"Disk Array",,"Another Two","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
"Disk Array",,"Another Two","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
